vBestLabels1,vBestLabels2,vBestLabels3,vBestLabels4,vBestLabels5,vBestLabels6,vBestLabels7
1,0.812934714509487,10,Polygon,tSNE,chebychev,single
2,0.807575411205651,20,Polygon,tSNE,seuclidean,single
3,0.806542538819673,20,Polygon,SPE,cosine,average
4,0.804423804288447,10,Polygon,SPE,chebychev,average
5,0.802290472904108,10,Polygon,SPE,euclidean,average
6,0.802290472904108,10,Polygon,SPE,minkowski,average
7,0.801465809771619,20,Polygon,SPE,correlation,average
8,0.801440075708749,20,Polygon,SPE,seuclidean,average
9,0.799892060271578,20,Polygon,SPE,euclidean,average
10,0.799892060271578,20,Polygon,SPE,minkowski,average
11,0.798975688153574,20,Polygon,SPE,cosine,centroid
12,0.797796408473292,10,Polygon,SPE,seuclidean,average
13,0.797644135116024,10,Polygon,tSNE,euclidean,single
14,0.797644135116024,10,Polygon,tSNE,squaredeuclidean,single
15,0.797644135116024,10,Polygon,tSNE,minkowski,single
16,0.794153835076884,5,Polygon,tSNE,seuclidean,single
17,0.790161460801834,20,Polygon,SPE,squaredeuclidean,average
18,0.790062670382878,20,Polygon,SPE,cityblock,average
19,0.790033879226128,10,Polygon,SPE,cosine,average
20,0.789797872489714,10,Polygon,SPE,squaredeuclidean,centroid
21,0.789712591225773,10,Polygon,tSNE,cityblock,single
22,0.78929619124116,10,Polygon,SPE,squaredeuclidean,average
23,0.788367143461952,10,Polygon,SPE,cosine,centroid
24,0.787584071589203,5,Polygon,tSNE,euclidean,single
25,0.787584071589203,5,Polygon,tSNE,squaredeuclidean,single
26,0.787584071589203,5,Polygon,tSNE,minkowski,single
27,0.786906558586376,10,Polygon,SPE,seuclidean,weighted
28,0.786660709588742,10,Polygon,SPE,cityblock,average
29,0.786325364700964,20,Polygon,SPE,squaredeuclidean,centroid
30,0.785070938763825,20,Polygon,SPE,chebychev,average
31,0.784305058314367,20,Polygon,SPE,correlation,centroid
32,0.78380327845181,20,Polygon,tSNE,cityblock,single
33,0.780878216229914,20,Polygon,tSNE,chebychev,single
34,0.779899306490651,5,Polygon,SPE,squaredeuclidean,average
35,0.779475196642114,20,Polygon,tSNE,euclidean,single
36,0.779475196642114,20,Polygon,tSNE,squaredeuclidean,single
37,0.779475196642114,20,Polygon,tSNE,minkowski,single
38,0.777534573574439,20,Polygon,SPE,mahalanobis,ward
39,0.776968379074504,10,Polygon,SPE,chebychev,weighted
40,0.775943999873831,20,Polygon,SPE,spearman,average
41,0.774117396232871,10,Polygon,SPE,squaredeuclidean,weighted
42,0.77382728330056,5,Polygon,SPE,seuclidean,average
43,0.773525929541449,20,Polygon,SPE,euclidean,weighted
44,0.773525929541449,20,Polygon,SPE,minkowski,weighted
45,0.77300208637365,5,Polygon,tSNE,mahalanobis,single
46,0.772396322596971,20,Polygon,tSNE,cosine,centroid
47,0.77223141938701,10,Polygon,SPE,correlation,average
48,0.772216662060441,20,Polygon,SPE,squaredeuclidean,weighted
49,0.772081761642628,10,Polygon,SPE,mahalanobis,ward
50,0.771072694423937,20,Histogram,tSNE,cityblock,single
51,0.770547362264965,20,Histogram,tSNE,euclidean,single
52,0.770547362264965,20,Histogram,tSNE,squaredeuclidean,single
53,0.770547362264965,20,Histogram,tSNE,minkowski,single
54,0.770341968930566,20,Polygon,Sammon,cosine,average
55,0.769886569881321,10,Polygon,tSNE,correlation,average
56,0.769558382195782,20,Histogram,tSNE,seuclidean,single
57,0.769039760031477,10,Polygon,tSNE,cosine,average
58,0.768815902620943,10,Histogram,tSNE,seuclidean,single
59,0.768648993722936,20,Polygon,SPE,cosine,weighted
60,0.768252045005464,20,Polygon,tSNE,correlation,average
61,0.767271024531218,10,Histogram,tSNE,cityblock,single
62,0.766885751674701,5,Polygon,SPE,squaredeuclidean,centroid
63,0.766438409726119,20,Polygon,Sammon,correlation,average
64,0.76601788031081,5,Polygon,SPE,mahalanobis,average
65,0.764531389836983,10,Polygon,tSNE,seuclidean,single
66,0.763688675487762,20,Polygon,tSNE,cosine,average
67,0.763619445728334,10,Polygon,tSNE,cosine,weighted
68,0.763580279636038,20,Polygon,SPE,squaredeuclidean,ward
69,0.763299868631045,10,Polygon,SPE,squaredeuclidean,ward
70,0.763008942847831,20,Polygon,SPE,cityblock,weighted
71,0.762124445864695,10,Histogram,tSNE,euclidean,single
72,0.762124445864695,10,Histogram,tSNE,squaredeuclidean,single
73,0.762124445864695,10,Histogram,tSNE,minkowski,single
74,0.762013903937604,10,Polygon,tSNE,correlation,centroid
75,0.761825794144145,10,Histogram,tSNE,cosine,average
76,0.761431930678506,5,Polygon,SPE,cityblock,average
77,0.761306336037831,5,Polygon,SPE,seuclidean,centroid
78,0.76014525564883,10,Polygon,tSNE,cosine,centroid
79,0.759875341414037,20,Polygon,SPE,seuclidean,weighted
80,0.759567240212885,10,Polygon,SPE,correlation,centroid
81,0.759462467768942,10,Polygon,SPE,mahalanobis,complete
82,0.75887786891409,20,Histogram,tSNE,correlation,weighted
83,0.758819695240386,20,Polygon,SPE,spearman,centroid
84,0.758589501379554,20,Polygon,SPE,euclidean,complete
85,0.758589501379554,20,Polygon,SPE,squaredeuclidean,complete
86,0.758589501379554,20,Polygon,SPE,minkowski,complete
87,0.758171174879025,10,Polygon,SPE,cityblock,centroid
88,0.757828415325212,5,Polygon,tSNE,chebychev,single
89,0.757555791730896,20,Histogram,tSNE,correlation,average
90,0.757336855559305,5,Polygon,tSNE,cityblock,single
